Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
France,1989,2013,27,56,France,8.63E-03,1.92E-03,1.13E-03,3.75E-04,1.48E-04,1.41E-04,1.59E-03,3.54E-03,5.23E-04,2.07E-04,1.67E-04,4.82E-05,4.98E-05,2.80E-04
ESCAPE - E3N,1991,2008,100,62,France,8.69E-03,1.95E-03,1.15E-03,3.81E-04,1.49E-04,1.41E-04,1.58E-03,3.54E-03,5.28E-04,2.09E-04,1.69E-04,4.80E-05,4.95E-05,2.58E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,9.55E-03,3.42E-03,2.40E-03,4.88E-04,2.39E-04,1.27E-04,1.30E-03,4.59E-03,1.05E-03,5.66E-04,2.52E-04,1.05E-04,5.65E-05,3.48E-04
ESCAPE - KORA,1997,2007,51,55,Germany,8.39E-03,2.72E-03,1.82E-03,3.81E-04,2.04E-04,1.32E-04,1.15E-03,4.21E-03,8.45E-04,4.30E-04,2.00E-04,1.04E-04,6.03E-05,3.96E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,7.51E-03,3.22E-03,2.36E-03,5.71E-04,8.90E-05,9.21E-05,1.45E-03,3.24E-03,9.66E-04,5.19E-04,3.00E-04,4.81E-05,4.11E-05,2.39E-04
Rome,2001,2010,50,55,Italy,5.95E-03,1.73E-03,1.12E-03,3.04E-04,9.74E-05,6.06E-05,9.63E-04,3.17E-03,5.60E-04,2.46E-04,1.73E-04,4.28E-05,2.94E-05,2.75E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,6.74E-03,2.01E-03,1.30E-03,3.60E-04,1.10E-04,5.87E-05,1.15E-03,3.43E-03,6.54E-04,2.83E-04,2.06E-04,4.27E-05,2.81E-05,2.59E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,6.53E-03,1.93E-03,1.25E-03,3.43E-04,1.06E-04,5.91E-05,1.10E-03,3.36E-03,6.27E-04,2.73E-04,1.96E-04,4.21E-05,2.83E-05,2.62E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,6.53E-03,1.93E-03,1.25E-03,3.43E-04,1.06E-04,5.91E-05,1.10E-03,3.36E-03,6.27E-04,2.73E-04,1.96E-04,4.21E-05,2.83E-05,2.62E-04
DUELS,2004,2011,52,63,Netherlands,5.91E-03,1.65E-03,1.09E-03,2.77E-04,1.60E-04,1.28E-04,1.02E-03,4.25E-03,6.39E-04,2.95E-04,2.00E-04,1.78E-04,7.43E-05,7.81E-04
Dutch,1987,1996,51,66,Netherlands,8.83E-03,3.50E-03,2.64E-03,4.43E-04,2.27E-04,7.39E-05,1.64E-03,4.78E-03,1.10E-03,6.26E-04,2.85E-04,1.39E-04,4.27E-05,4.41E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,7.02E-03,2.33E-03,1.64E-03,3.52E-04,1.81E-04,1.17E-04,1.22E-03,4.52E-03,8.19E-04,4.18E-04,2.40E-04,1.66E-04,6.76E-05,6.56E-04
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,7.02E-03,2.33E-03,1.64E-03,3.52E-04,1.81E-04,1.17E-04,1.22E-03,4.52E-03,8.19E-04,4.18E-04,2.40E-04,1.66E-04,6.76E-05,6.56E-04
ESCAPE - HUBRO,2000,2010,56,53,Norway,5.74E-03,1.92E-03,1.40E-03,2.77E-04,1.65E-04,7.20E-05,7.36E-04,3.89E-03,5.94E-04,3.16E-04,1.71E-04,1.70E-04,4.36E-05,5.57E-04
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,5.30E-03,1.95E-03,1.33E-03,2.90E-04,8.73E-05,9.07E-05,4.46E-04,3.66E-03,6.66E-04,3.39E-04,1.90E-04,1.08E-04,4.49E-05,4.73E-04
ESCAPE - SALT,2000,2010,56,63,Sweden,5.35E-03,1.98E-03,1.36E-03,2.94E-04,8.74E-05,9.14E-05,4.51E-04,3.70E-03,6.81E-04,3.47E-04,1.94E-04,1.09E-04,4.59E-05,4.75E-04
ESCAPE - Sixty,1997,2010,52,67,Sweden,5.51E-03,2.10E-03,1.45E-03,3.10E-04,8.89E-05,9.40E-05,4.67E-04,3.76E-03,7.09E-04,3.65E-04,2.02E-04,1.10E-04,4.75E-05,4.68E-04
ESCAPE - SDPP,2004,2010,62,50,Sweden,5.14E-03,1.85E-03,1.26E-03,2.71E-04,8.79E-05,8.82E-05,4.27E-04,3.54E-03,6.26E-04,3.18E-04,1.78E-04,1.04E-04,4.23E-05,4.60E-04
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,6.17E-03,1.85E-03,1.32E-03,2.28E-04,1.43E-04,7.33E-05,9.91E-04,3.42E-03,5.28E-04,2.73E-04,1.40E-04,7.55E-05,3.82E-05,3.83E-04
Taipei,1989,2008,43,51,Taiwan,1.00E-02,2.59E-03,1.14E-03,1.11E-03,1.02E-04,1.80E-04,7.34E-04,5.09E-03,1.06E-03,3.05E-04,5.90E-04,4.44E-05,8.64E-05,3.60E-04
AARD,2000,2009,41,71,USA,8.60E-03,3.09E-03,2.18E-03,3.64E-04,3.14E-04,1.98E-04,1.06E-03,5.36E-03,1.35E-03,7.86E-04,2.62E-04,2.57E-04,1.40E-04,6.65E-04
NHIS,1986,2001,44,51,USA,1.03E-02,4.19E-03,3.08E-03,4.32E-04,3.49E-04,2.03E-04,1.53E-03,6.21E-03,1.77E-03,1.07E-03,3.25E-04,2.60E-04,1.29E-04,8.25E-04
ACS,1982,2004,56,66,USA,1.02E-02,4.16E-03,3.05E-03,4.29E-04,3.48E-04,2.03E-04,1.51E-03,6.17E-03,1.75E-03,1.06E-03,3.23E-04,2.59E-04,1.30E-04,8.15E-04
NHS,2000,2006,100,64,USA,8.71E-03,3.19E-03,2.26E-03,3.71E-04,3.15E-04,1.97E-04,1.11E-03,5.49E-03,1.41E-03,8.27E-04,2.73E-04,2.61E-04,1.41E-04,6.93E-04
CTS,2000,2005,100,53,USA,8.75E-03,3.22E-03,2.29E-03,3.73E-04,3.16E-04,1.97E-04,1.13E-03,5.54E-03,1.43E-03,8.42E-04,2.77E-04,2.62E-04,1.41E-04,7.03E-04
SCS,1979,2009,55,63,USA,1.00E-02,4.01E-03,2.94E-03,4.19E-04,3.45E-04,2.04E-04,1.44E-03,6.03E-03,1.69E-03,1.02E-03,3.12E-04,2.58E-04,1.31E-04,7.87E-04
MHP,1988,2002,0,64,USA,1.01E-02,4.06E-03,2.97E-03,4.24E-04,3.43E-04,2.01E-04,1.47E-03,6.13E-03,1.73E-03,1.04E-03,3.20E-04,2.62E-04,1.30E-04,8.14E-04
AHS,1993,2009,38,54,USA,9.13E-03,3.44E-03,2.46E-03,3.87E-04,3.23E-04,1.98E-04,1.21E-03,5.65E-03,1.49E-03,8.82E-04,2.84E-04,2.60E-04,1.36E-04,7.26E-04
AHSMOG,1977,1992,65,70,USA,1.12E-02,4.71E-03,3.52E-03,4.60E-04,3.71E-04,2.11E-04,1.73E-03,6.49E-03,1.92E-03,1.19E-03,3.46E-04,2.55E-04,1.25E-04,8.61E-04
MEDICARE,2003,2008,59,77,USA,8.47E-03,3.00E-03,2.10E-03,3.57E-04,3.11E-04,1.99E-04,1.02E-03,5.24E-03,1.29E-03,7.50E-04,2.53E-04,2.53E-04,1.40E-04,6.42E-04
Hong Kong,2000,2011,66,78,Hong Kong,1.15E-02,4.12E-03,1.36E-03,2.36E-03,7.60E-04,1.05E-04,1.14E-03,6.61E-03,2.56E-03,6.94E-04,1.49E-03,4.84E-04,6.06E-05,4.57E-04
